Close,Date
8331.75,11/30/2023
8383.6,11/29/2023
8277.35,11/28/2023
8280.35,11/27/2023
8329.95,11/24/2023
8306.35,11/23/2023
8252.84,11/22/2023
8323.5,11/21/2023
8340.1,11/20/2023
8168.05,11/17/2023
8121.85,11/16/2023
8172.1,11/15/2023
8080.5,11/14/2023
8081.29,11/13/2023
8005.6,11/10/2023
8030.25,11/9/2023
8087.75,11/8/2023
8067.65,11/7/2023
8136.25,11/6/2023
8070.25,11/3/2023
8065.65,11/2/2023
8029.8,11/1/2023
8037.15,10/31/2023
8109.65,10/30/2023
7963.5,10/27/2023
7938.9,10/26/2023
7945.65,10/25/2023
7900.25,10/24/2023
7900.61,10/23/2023
7879.61,10/20/2023
7927.85,10/19/2023
7901.35,10/18/2023
7846.4,10/17/2023
7919.15,10/16/2023
7875.85,10/13/2023
7994.65,10/12/2023
7943.5,10/11/2023
7907.4,10/10/2023
8015.4,10/9/2023
7886.75,10/6/2023
7812.25,10/5/2023
7910.25,10/4/2023
7958.8,10/3/2023
8100.4,10/2/2023
8230.35,9/29/2023
8111.9,9/28/2023
8056.35,9/27/2023
8034,9/26/2023
8104.65,9/25/2023
8161.59,9/22/2023
8129.55,9/21/2023
8276,9/20/2023
8233,9/19/2023
8299.8,9/18/2023
8376.5,9/15/2023
8422.85,9/14/2023
8353,9/13/2023
8337.5,9/12/2023
8332.35,9/11/2023
8223.75,9/8/2023
8242.5,9/7/2023
8394.5,9/6/2023
8427.5,9/5/2023
8418,9/4/2023
8513.65,9/1/2023
8358.8,8/31/2023
8445.4,8/30/2023
8374,8/29/2023
8381.5,8/25/2023
8358.5,8/24/2023
8424.1,8/23/2023
8330.55,8/22/2023
8239.25,8/21/2023
8213.6,8/18/2023
8200.7,8/17/2023
8131,8/16/2023
8126.5,8/15/2023
8241,8/14/2023
8241,8/11/2023
8423.5,8/10/2023
8394,8/9/2023
8276,8/8/2023
8494.7,8/7/2023
8450.5,8/4/2023
8570.35,8/3/2023
8543.5,8/2/2023
8720.25,8/1/2023
8800.15,7/31/2023
8591.5,7/28/2023
8578.1,7/27/2023
8532.85,7/26/2023
8596.15,7/25/2023
8429.3,7/24/2023
8421.65,7/21/2023
8542.15,7/20/2023
8353.65,7/19/2023
8409,7/18/2023
8467.85,7/17/2023
8651,7/14/2023
8583.85,7/13/2023
8365.75,7/12/2023
8370.75,7/11/2023
8285.85,7/10/2023
8298.15,7/7/2023
8279,7/6/2023
8250.65,7/5/2023
8348.35,7/4/2023
8355,7/3/2023
8210,6/30/2023
8165.35,6/29/2023
8267.65,6/28/2023
8366.5,6/27/2023
8436.15,6/26/2023
8488.85,6/23/2023
8670.4,6/22/2023
8606.1,6/21/2023
8562.35,6/20/2023
8546,6/19/2023
8554.85,6/16/2023
8478.65,6/15/2023
8509.25,6/14/2023
8421.1,6/13/2023
8287,6/12/2023
8368,6/9/2023
8242.9,6/8/2023
8352,6/7/2023
8310.65,6/6/2023
8265,6/5/2023
8337,6/2/2023
8210.5,6/1/2023
8016.2,5/31/2023
8121.15,5/30/2023
8081.35,5/26/2023
7914.6,5/25/2023
7909.65,5/24/2023
8035.59,5/23/2023
8093.5,5/22/2023
8222,5/19/2023
8171.5,5/18/2023
8175.35,5/17/2023
8076,5/16/2023
8218.25,5/15/2023
8239.15,5/12/2023
8267,5/11/2023
8436.1,5/10/2023
8562.1,5/9/2023
8486.85,5/5/2023
8474.75,5/4/2023
8485.5,5/3/2023
8490.15,5/2/2023
8569.85,4/28/2023
8465.1,4/27/2023
8535.1,4/26/2023
8520.75,4/25/2023
8709.85,4/24/2023
8815.5,4/21/2023
8874,4/20/2023
8874.85,4/19/2023
9004.25,4/18/2023
8962.8,4/17/2023
9030.1,4/14/2023
9001.25,4/13/2023
8802.35,4/12/2023
8837.35,4/11/2023
8835.75,4/6/2023
8776,4/5/2023
8927.5,4/4/2023
8916.85,4/3/2023
8935,3/31/2023
9040,3/30/2023
9049.5,3/29/2023
8933.35,3/28/2023
8875.35,3/27/2023
8926.85,3/24/2023
8916,3/23/2023
8880.05,3/22/2023
8760.85,3/21/2023
8701.1,3/20/2023
8620.35,3/17/2023
8508.6,3/16/2023
8522.5,3/15/2023
8808.85,3/14/2023
8650.75,3/13/2023
8752.35,3/10/2023
8807.85,3/9/2023
8810,3/8/2023
8823,3/7/2023
8818,3/6/2023
8942.5,3/3/2023
8894.85,3/2/2023
9066.5,3/1/2023
8843.35,2/28/2023
8749.85,2/27/2023
8805.85,2/24/2023
9059.35,2/23/2023
9120.35,2/22/2023
9103.4,2/21/2023
9012.35,2/20/2023
8870.5,2/17/2023
8891.3,2/16/2023
8826,2/15/2023
8931.1,2/14/2023
8911.35,2/13/2023
8904.85,2/10/2023
8952.04,2/9/2023
9006,2/8/2023
8864.15,2/7/2023
8891.35,2/6/2023
9057.35,2/3/2023
9113.9,2/2/2023
9172.65,2/1/2023
9074.85,1/31/2023
9226.35,1/30/2023
9345.35,1/27/2023
9288.15,1/26/2023
9257.85,1/25/2023
9307.6,1/24/2023
9340,1/23/2023
9230.85,1/20/2023
9188.85,1/19/2023
9435.35,1/18/2023
9112.8,1/17/2023
9145.25,1/16/2023
9106.75,1/13/2023
9071.4,1/12/2023
8986.5,1/11/2023
8766.5,1/10/2023
8721.75,1/9/2023
8362.25,1/6/2023
8418.85,1/5/2023
8208.75,1/4/2023
8389.85,1/3/2023
8386.25,12/30/2022
8394.5,12/29/2022
8450.5,12/28/2022
8327.85,12/23/2022
8290.25,12/22/2022
8327,12/21/2022
8301.5,12/20/2022
8195.22,12/19/2022
8231.5,12/16/2022
8382.65,12/15/2022
8414.5,12/14/2022
8380.5,12/13/2022
8371,12/12/2022
8490.5,12/9/2022
8537,12/8/2022
8333.5,12/7/2022
8355.25,12/6/2022
8440,12/5/2022
8342,12/2/2022
8216.5,12/1/2022
8197,11/30/2022
8035.25,11/29/2022
7965.3,11/28/2022
8067.5,11/25/2022
8002.85,11/24/2022
7962,11/23/2022
7993.5,11/22/2022
7900.35,11/21/2022
8046.9,11/18/2022
8155,11/17/2022
8314.5,11/16/2022
8342.85,11/15/2022
8345.5,11/14/2022
8440.5,11/11/2022
8062.5,11/10/2022
8033.85,11/9/2022
7973,11/8/2022
7953.85,11/7/2022
7902.35,11/4/2022
7509.5,11/3/2022
7702.5,11/2/2022
7742.35,11/1/2022
7522.5,10/31/2022
7619.25,10/28/2022
7775.85,10/27/2022
7762,10/26/2022
7534.85,10/25/2022
7540,10/24/2022
7543,10/21/2022
7585.5,10/20/2022
7455.6,10/19/2022
7482.85,10/18/2022
7647.35,10/17/2022
7687.75,10/14/2022
